,county,Population,cases,Minority_pct,Hotspot
616,Caswell,22400.0,2206,0.374,False
617,Catawba,162841.0,19860,0.2594,False
618,Chatham,77095.0,4763,0.2865,False
619,Cherokee,28738.0,2647,0.1089,False
620,Chowan,13646.0,1495,0.3908,False
621,Clay,11238.0,905,0.0847,False
622,Cleveland,99332.0,11740,0.2858,False
623,Columbus,49795.0,6474,0.3999,False
624,Craven,102568.0,9480,0.3377,False
625,Cumberland,341793.0,30475,0.576,False
626,Currituck,29385.0,1585,0.1502,False
627,Dare,37817.0,2203,0.1215,False
628,Davidson,171752.0,17052,0.2191,False
629,Davie,43127.0,4190,0.1726,False
630,Duplin,48249.0,6393,0.4646,False
631,Durham,331347.0,26069,0.5714,False
632,Edgecombe,48604.0,5721,0.6394,False
633,Forsyth,387703.0,37053,0.4384,False
634,Franklin,70655.0,7045,0.366,False
