,date,county,state,fips,cases,deaths,Population,casesprop,deathsprop,dailycase,weeklycase,dailydeath,weeklydeath,weeklyper100k,tranlevel,Minority_pct,region
107,2021-07-02,Bertie,North Carolina,37015.0,1795,45.0,17302.0,0.1037,0.0026,1.0,0.0,0.0,0.0,0.0,Low,0.6465000000000001,Coastal
108,2021-07-02,Bladen,North Carolina,37017.0,3516,47.0,29171.0,0.1205,0.0016,3.0,0.0,0.0,0.0,0.0,Low,0.45609999999999995,Coastal
109,2021-07-02,Brunswick,North Carolina,37019.0,9342,156.0,144821.0,0.0645,0.0011,5.0,0.0,0.0,0.0,0.0,Low,0.1784,Coastal
110,2021-07-02,Buncombe,North Carolina,37021.0,18089,335.0,271638.0,0.0666,0.0012,2.0,0.0,0.0,0.0,0.0,Low,0.18769999999999998,Western
111,2021-07-02,Burke,North Carolina,37023.0,10152,162.0,88398.0,0.1148,0.0018,0.0,0.0,0.0,0.0,0.0,Low,0.20440000000000003,Western
112,2021-07-02,Cabarrus,North Carolina,37025.0,22396,262.0,232873.0,0.0962,0.0011,18.0,0.0,0.0,0.0,0.0,Low,0.3899,Central
113,2021-07-02,Caldwell,North Carolina,37027.0,9521,111.0,81319.0,0.1171,0.0014,-4.0,0.0,0.0,0.0,0.0,Low,0.1462,Northern
114,2021-07-02,Camden,North Carolina,37029.0,695,6.0,10537.0,0.066,0.0006,0.0,0.0,0.0,0.0,0.0,Low,0.19730000000000003,Coastal
115,2021-07-02,Carteret,North Carolina,37031.0,5261,55.0,69039.0,0.0762,0.0008,0.0,0.0,0.0,0.0,0.0,Low,0.13929999999999998,Coastal
116,2021-07-02,Caswell,North Carolina,37033.0,2200,30.0,22400.0,0.0982,0.0013,0.0,0.0,0.0,0.0,0.0,Low,0.374,Eastern
117,2021-07-02,Catawba,North Carolina,37035.0,19823,311.0,162841.0,0.1217,0.0019,9.0,0.0,0.0,0.0,0.0,Low,0.25939999999999996,Northern
118,2021-07-02,Chatham,North Carolina,37037.0,4756,89.0,77095.0,0.0617,0.0012,1.0,0.0,0.0,0.0,0.0,Low,0.2865,Eastern
119,2021-07-02,Cherokee,North Carolina,37039.0,2638,38.0,28738.0,0.0918,0.0013,3.0,0.0,0.0,0.0,0.0,Low,0.1089,Western
120,2021-07-02,Chowan,North Carolina,37041.0,1488,34.0,13646.0,0.109,0.0025,0.0,0.0,0.0,0.0,0.0,Low,0.39080000000000004,Coastal
121,2021-07-02,Clay,North Carolina,37043.0,906,18.0,11238.0,0.0806,0.0016,0.0,0.0,0.0,0.0,0.0,Low,0.0847,Western
122,2021-07-02,Cleveland,North Carolina,37045.0,11717,228.0,99332.0,0.118,0.0023,5.0,0.0,0.0,0.0,0.0,Low,0.28580000000000005,Western
123,2021-07-02,Columbus,North Carolina,37047.0,6459,151.0,49795.0,0.1297,0.003,-2.0,0.0,-1.0,0.0,0.0,Low,0.39990000000000003,Coastal
124,2021-07-02,Craven,North Carolina,37049.0,9470,126.0,102568.0,0.0923,0.0012,0.0,0.0,0.0,0.0,0.0,Low,0.3377,Coastal
125,2021-07-02,Cumberland,North Carolina,37051.0,30343,321.0,341793.0,0.0888,0.0009,19.0,0.0,-1.0,0.0,0.0,Low,0.5760000000000001,Eastern
126,2021-07-02,Currituck,North Carolina,37053.0,1580,16.0,29385.0,0.0538,0.0005,-1.0,0.0,0.0,0.0,0.0,Low,0.1502,Coastal
127,2021-07-02,Dare,North Carolina,37055.0,2191,10.0,37817.0,0.0579,0.0003,1.0,0.0,0.0,0.0,0.0,Low,0.12150000000000005,Coastal
128,2021-07-02,Davidson,North Carolina,37057.0,17032,197.0,171752.0,0.0992,0.0011,-2.0,0.0,0.0,0.0,0.0,Low,0.21909999999999996,Northern
129,2021-07-02,Davie,North Carolina,37059.0,4180,40.0,43127.0,0.0969,0.0009,1.0,0.0,0.0,0.0,0.0,Low,0.17259999999999998,Northern
130,2021-07-02,Duplin,North Carolina,37061.0,6387,142.0,48249.0,0.1324,0.0029,5.0,0.0,0.0,0.0,0.0,Low,0.4646,Coastal
131,2021-07-02,Durham,North Carolina,37063.0,25979,234.0,331347.0,0.0784,0.0007,0.0,0.0,0.0,0.0,0.0,Low,0.5714,Eastern
132,2021-07-02,Edgecombe,North Carolina,37065.0,5704,113.0,48604.0,0.1174,0.0023,1.0,0.0,0.0,0.0,0.0,Low,0.6394,Coastal
